month,country,store_id,store,orders,basket_size,sales,avg_ticket,found_rate
2020-03,US,1915,Safeway,2,14.5000000000000000,131.65,65.825,0.55172413793103448276
2020-04,US,2209,Walmart,185,15.4216216216216216,10579.36,57.1857297297297,0.68103750438135296179
2020-04,US,2314,Target,100,6.8400000000000000,2286.34,22.8634,0.54532163742690058480
2020-04,US,2304,Central Market,30,14.5666666666666667,1973.07,65.769,0.68878718535469107551
2020-04,US,2316,Tom Thumb,22,10.1818181818181818,980.82,44.5827272727273,0.68750000000000000000
2020-04,US,2312,Sedano's Supermarket,21,11.6190476190476190,821.9,39.1380952380952,0.68852459016393442623
2020-04,US,2309,Publix Super Market,14,20.2857142857142857,1600.81,114.343571428571,0.81690140845070422535
2020-04,US,2303,ALDI,10,18.1000000000000000,588.75,58.875,0.90055248618784530387
2020-04,US,2551,Panna,5,4.4000000000000000,297.15,59.43,0.81818181818181818182
2020-04,US,2311,Sam's Club,4,4.0000000000000000,103.48,25.87,0.25000000000000000000
2020-04,US,2757,Eatzi’s Market & Bakery Oak Lawn,3,5.0000000000000000,125.24,41.7466666666667,0.86666666666666666667
2020-04,US,2562,Wild Fork,3,6.6666666666666667,122.06,40.6866666666667,0.70000000000000000000
2020-04,US,2594,Smallcakes Preston,2,5.5000000000000000,69,34.5,1.00000000000000000000
2020-04,US,1915,Safeway,2,3.5000000000000000,56,28,0.85714285714285714286
2020-04,US,2633,Fluellen Cupcakes,2,4.5000000000000000,47.5,23.75,1.00000000000000000000
2020-04,US,2634,San Martin Bakery Uptown,1,7.0000000000000000,18.1,18.1,0.85714285714285714286
2020-04,US,2590,Origini,1,1.00000000000000000000,4.99,4.99,1.00000000000000000000
2020-04,US,2310,Sabor Tropical Supermarket,1,7.0000000000000000,191.56,191.56,0E-20
2020-04,US,2313,Sprouts Farmers Market,1,8.0000000000000000,29.93,29.93,0.62500000000000000000
2020-04,US,2735,Krispy Kreme,1,7.0000000000000000,10.99,10.99,1.00000000000000000000
2020-05,US,2209,Walmart,745,15.3302013422818792,42511.9500000001,57.0630201342283,0.73128447596532702916
2020-05,US,2309,Publix Super Market,213,14.2769953051643192,15816.23,74.2546009389671,0.78197961196974679382
2020-05,US,2303,ALDI,135,18.9777777777777778,7561.1,56.0081481481481,0.86768149882903981265
2020-05,US,2306,Kroger,51,12.7647058823529412,2688.12,52.7082352941177,0.76344086021505376344
2020-05,US,2562,Wild Fork,42,5.4761904761904762,3220.06,76.6680952380952,0.86086956521739130435
2020-05,US,2757,Eatzi’s Market & Bakery Oak Lawn,40,5.7000000000000000,1903.47,47.58675,0.92105263157894736842
2020-05,US,2210,Costco,36,4.6944444444444444,1962.56,54.5155555555556,0.68047337278106508876
2020-05,US,2304,Central Market,33,13.7272727272727273,2279.74,69.0830303030303,0.71302428256070640177
2020-05,US,2314,Target,29,14.3448275862068966,1219.29,42.0444827586207,0.55528846153846153846
2020-05,US,2308,Milam's Markets,23,16.9565217391304348,1872.32,81.4052173913044,0.68205128205128205128
2020-05,US,2596,Fireman Derek's,20,1.6000000000000000,1079.95,53.9975,0.84375000000000000000
2020-05,US,2310,Sabor Tropical Supermarket,18,11.8888888888888889,988.98,54.9433333333333,0.68224299065420560748
2020-05,US,2845,Graziano's,16,4.1250000000000000,1215.37,75.960625,0.90909090909090909091
2020-05,US,2551,Panna,14,3.4285714285714286,559.09,39.935,0.85416666666666666667
2020-05,US,2312,Sedano's Supermarket,11,15.4545454545454545,582.7,52.9727272727273,0.63529411764705882353
2020-05,US,2658,Casa Blanca Fish Market,10,4.1000000000000000,764.08,76.408,0.80487804878048780488
2020-05,US,2311,Sam's Club,9,5.5555555555555556,352.95,39.2166666666667,0.44000000000000000000
2020-05,US,2634,San Martin Bakery Uptown,8,5.2500000000000000,160.23,20.02875,0.69047619047619047619
2020-05,US,3109,Zerpa's Antojos Criollos,8,6.5000000000000000,402.34,50.2925,0.82692307692307692308
2020-05,US,2313,Sprouts Farmers Market,7,12.0000000000000000,378.25,54.0357142857143,0.82142857142857142857
2020-05,US,2756,Foxtrot Market Uptown,6,8.3333333333333333,249,41.5,0.48000000000000000000
2020-05,US,2674,Gourmeat,6,2.3333333333333333,307.44,51.24,0.78571428571428571429
2020-05,US,2590,Origini,3,12.3333333333333333,267.27,89.09,0.75675675675675675676
2020-05,US,2633,Fluellen Cupcakes,3,2.0000000000000000,47.5,15.8333333333333,1.00000000000000000000
2020-05,US,2898,Humble: Simply Good Pies,3,3.0000000000000000,88.16,29.3866666666667,0.77777777777777777778
2020-05,US,2703,The Corner Market,2,1.00000000000000000000,104.12,52.06,1.00000000000000000000
2020-05,US,2647,Isabelly's Chocolates & Sweet Treats,2,1.00000000000000000000,45,22.5,0.50000000000000000000
2020-05,US,2594,Smallcakes Preston,2,4.0000000000000000,51.75,25.875,1.00000000000000000000
2020-05,US,2668,Marky's (discontinued),2,4.5000000000000000,176.04,88.02,0.44444444444444444444
2020-05,US,2672,Babe's Meat Market,2,3.0000000000000000,164.53,82.265,1.00000000000000000000
2020-05,US,2735,Krispy Kreme,2,1.5000000000000000,23.97,11.985,1.00000000000000000000
2020-05,US,2557,Burgundy pasture beef,2,2.0000000000000000,63.92,31.96,1.00000000000000000000
2020-05,US,3051,Emporium Pies Bishop,2,3.0000000000000000,36,18,1.00000000000000000000
2020-05,US,3013,Millstone Bakery,1,3.0000000000000000,17.8,17.8,0.33333333333333333333
2020-05,US,3047,Karla Bakery,1,4.0000000000000000,36.5,36.5,1.00000000000000000000
